,min_output,max_output,status,a,b,c,t_min_down,t_min_up,t_max_up,hot_cost,cold_cost,cold_hrs
0,150,455,16,0.00047999999999999996,16.19,1000,16,16,1000000,4500,9000,1000000
1,150,455,16,0.00047999999999999996,16.19,1000,16,16,1000000,4500,9000,1000000
2,150,455,16,0.00047999999999999996,16.19,1000,16,16,1000000,4500,9000,1000000
3,150,455,16,0.00047999999999999996,16.19,1000,16,16,1000000,4500,9000,1000000
4,150,455,16,0.00031,17.26,970,16,16,1000000,5000,10000,1000000
5,150,455,16,0.00031,17.26,970,16,16,1000000,5000,10000,1000000
6,150,455,16,0.00031,17.26,970,16,16,1000000,5000,10000,1000000
7,150,455,16,0.00031,17.26,970,16,16,1000000,5000,10000,1000000
8,20,130,-10,0.002,16.6,700,10,10,1000000,550,1100,1000000
9,20,130,-10,0.002,16.6,700,10,10,1000000,550,1100,1000000
10,20,130,-10,0.002,16.6,700,10,10,1000000,550,1100,1000000
11,20,130,-10,0.002,16.6,700,10,10,1000000,550,1100,1000000
12,20,130,-10,0.0021100000000000003,16.5,680,10,10,1000000,560,1120,1000000
13,20,130,-10,0.0021100000000000003,16.5,680,10,10,1000000,560,1120,1000000
14,20,130,-10,0.0021100000000000003,16.5,680,10,10,1000000,560,1120,1000000
15,20,130,-10,0.0021100000000000003,16.5,680,10,10,1000000,560,1120,1000000
16,25,162,-12,0.00398,19.7,450,12,12,1000000,900,1800,1000000
17,25,162,-12,0.00398,19.7,450,12,12,1000000,900,1800,1000000
18,25,162,-12,0.00398,19.7,450,12,12,1000000,900,1800,1000000
19,25,162,-12,0.00398,19.7,450,12,12,1000000,900,1800,1000000
20,20,80,-6,0.007120000000000001,22.26,370,6,6,1000000,170,340,1000000
21,20,80,-6,0.007120000000000001,22.26,370,6,6,1000000,170,340,1000000
22,20,80,-6,0.007120000000000001,22.26,370,6,6,1000000,170,340,1000000
23,20,80,-6,0.007120000000000001,22.26,370,6,6,1000000,170,340,1000000
24,25,85,-6,0.00079,27.74,480,6,6,1000000,260,520,1000000
25,25,85,-6,0.00079,27.74,480,6,6,1000000,260,520,1000000
26,25,85,-6,0.00079,27.74,480,6,6,1000000,260,520,1000000
27,25,85,-6,0.00079,27.74,480,6,6,1000000,260,520,1000000
28,10,55,-2,0.00413,25.92,660,2,2,1000000,30,60,1000000
29,10,55,-2,0.00413,25.92,660,2,2,1000000,30,60,1000000
30,10,55,-2,0.00413,25.92,660,2,2,1000000,30,60,1000000
31,10,55,-2,0.00413,25.92,660,2,2,1000000,30,60,1000000
32,10,55,-2,0.0022199999999999998,27.27,665,2,2,1000000,30,60,1000000
33,10,55,-2,0.0022199999999999998,27.27,665,2,2,1000000,30,60,1000000
34,10,55,-2,0.0022199999999999998,27.27,665,2,2,1000000,30,60,1000000
35,10,55,-2,0.0022199999999999998,27.27,665,2,2,1000000,30,60,1000000
36,10,55,-2,0.00173,27.79,670,2,2,1000000,30,60,1000000
37,10,55,-2,0.00173,27.79,670,2,2,1000000,30,60,1000000
38,10,55,-2,0.00173,27.79,670,2,2,1000000,30,60,1000000
39,10,55,-2,0.00173,27.79,670,2,2,1000000,30,60,1000000
